source_entity,source_tradition,source_category,source_domains,christian_parallel,christian_tradition,christian_category,christian_domains
Aceso,Greek,Healing Figure,healing process; cure; recovery,Blaise,Christian,Saint,throat healing; blessing; martyrdom
Aceso,Greek,Healing Figure,healing process; cure; recovery,Cosmas and Damian,Christian,Saint,healing; medicine; physicians; martyrdom
Aceso,Greek,Healing Figure,healing process; cure; recovery,Raphael,Israelite/Second Temple,Angelic Being,angel; healing; guidance; protection
Aceso,Greek,Healing Figure,healing process; cure; recovery,Raphael the Archangel,Christian,Angelic Being,healing; guidance; protection; archangel
Aceso,Greek,Healing Figure,healing process; cure; recovery,Roch,Christian,Saint,plague; healing; pilgrimage; protection
Agathos Daimon,Greek,Household Spirit,household prosperity; protection,Abdal,Islamic/Sufi,Holy Figure,hidden saints; substitution; protection; cosmic order
Agathos Daimon,Hermetic/Greco-Egyptian,Daimon,good daimon; revelation; Hermetic teacher; protection,Abdal,Islamic/Sufi,Holy Figure,hidden saints; substitution; protection; cosmic order
Agathos Daimon,Hermetic/Greco-Egyptian,Daimon,good daimon; revelation; Hermetic teacher; protection,Archangels,Christian,Angelic Collective,archangels; revelation; protection; heavenly mediation
Agathos Daimon,Greek,Household Spirit,household prosperity; protection,Archangels,Christian,Angelic Collective,archangels; revelation; protection; heavenly mediation
Agathos Daimon,Hermetic/Greco-Egyptian,Daimon,good daimon; revelation; Hermetic teacher; protection,Benedict of Nursia,Christian,Saint,monasticism; rule; protection; order
Agathos Daimon,Greek,Household Spirit,household prosperity; protection,Benedict of Nursia,Christian,Saint,monasticism; rule; protection; order
Agathos Daimon,Hermetic/Greco-Egyptian,Daimon,good daimon; revelation; Hermetic teacher; protection,Gabriel,Israelite/Second Temple,Angelic Being,angel; revelation; message; interpretation
Agathos Daimon,Hermetic/Greco-Egyptian,Daimon,good daimon; revelation; Hermetic teacher; protection,Gabriel the Archangel,Christian,Angelic Being,annunciation; revelation; messages; archangel
Agathos Daimon,Greek,Household Spirit,household prosperity; protection,George,Christian,Saint,martyrdom; dragon-slaying; protection; military patronage
Agathos Daimon,Hermetic/Greco-Egyptian,Daimon,good daimon; revelation; Hermetic teacher; protection,George,Christian,Saint,martyrdom; dragon-slaying; protection; military patronage
Agathos Daimon,Greek,Household Spirit,household prosperity; protection,Guardian Angels,Christian,Angelic Collective,protection; guidance; personal guardianship
Agathos Daimon,Hermetic/Greco-Egyptian,Daimon,good daimon; revelation; Hermetic teacher; protection,Guardian Angels,Christian,Angelic Collective,protection; guidance; personal guardianship
Agathos Daimon,Hermetic/Greco-Egyptian,Daimon,good daimon; revelation; Hermetic teacher; protection,Jibril,Islamic,Angelic Being,revelation; prophecy; divine message
Agathos Daimon,Greek,Household Spirit,household prosperity; protection,Joseph,Christian,Saint,carpentry; family; protection; labor
Agathos Daimon,Hermetic/Greco-Egyptian,Daimon,good daimon; revelation; Hermetic teacher; protection,Joseph,Christian,Saint,carpentry; family; protection; labor
Agathos Daimon,Greek,Household Spirit,household prosperity; protection,Mary Theotokos,Christian,Holy Figure,Theotokos; intercession; motherhood; protection
Agathos Daimon,Hermetic/Greco-Egyptian,Daimon,good daimon; revelation; Hermetic teacher; protection,Mary Theotokos,Christian,Holy Figure,Theotokos; intercession; motherhood; protection
Agathos Daimon,Greek,Household Spirit,household prosperity; protection,Michael the Archangel,Christian,Angelic Being,protection; warfare; judgment; archangel
Agathos Daimon,Hermetic/Greco-Egyptian,Daimon,good daimon; revelation; Hermetic teacher; protection,Michael the Archangel,Christian,Angelic Being,protection; warfare; judgment; archangel
Agathos Daimon,Greek,Household Spirit,household prosperity; protection,Mikail,Islamic,Angelic Being,provision; mercy; natural order
