entity_id,name,name_type,language,source_id
ENT_CHAOS,Chaos,canonical,English/Latinized,SRC_THEOI_GODS
ENT_GAIA,Gaia,canonical,English/Latinized,SRC_THEOI_GODS
ENT_URANUS,Uranus,canonical,English/Latinized,SRC_THEOI_GODS
ENT_PONTUS,Pontus,canonical,English/Latinized,SRC_THEOI_GODS
ENT_TARTARUS,Tartarus,canonical,English/Latinized,SRC_THEOI_GODS
ENT_EREBUS,Erebus,canonical,English/Latinized,SRC_THEOI_GODS
ENT_NYX,Nyx,canonical,English/Latinized,SRC_THEOI_GODS
ENT_HEMERA,Hemera,canonical,English/Latinized,SRC_THEOI_GODS
ENT_AETHER,Aether,canonical,English/Latinized,SRC_THEOI_GODS
ENT_EROS_PRIMORDIAL,Eros Primordial,canonical,English/Latinized,SRC_THEOI_GODS
ENT_ANANKE,Ananke,canonical,English/Latinized,SRC_THEOI_GODS
ENT_CHRONOS,Chronos,canonical,English/Latinized,SRC_THEOI_GODS
ENT_PHANES,Phanes,canonical,English/Latinized,SRC_THEOI_GODS
ENT_THESIS,Thesis,canonical,English/Latinized,SRC_THEOI_GODS
ENT_HYDROS,Hydros,canonical,English/Latinized,SRC_THEOI_GODS
ENT_PHYSIS,Physis,canonical,English/Latinized,SRC_THEOI_GODS
ENT_OUREA,Ourea,canonical,English/Latinized,SRC_THEOI_GODS
ENT_NESOI,Nesoi,canonical,English/Latinized,SRC_THEOI_GODS
ENT_THALASSA,Thalassa,canonical,English/Latinized,SRC_THEOI_GODS
ENT_OPHION,Ophion,canonical,English/Latinized,SRC_THEOI_GODS
ENT_EURYNOME_PRIMORDIAL,Eurynome Primordial,canonical,English/Latinized,SRC_THEOI_GODS
ENT_MOROS,Moros,canonical,English/Latinized,SRC_THEOI_GODS
ENT_KER,Ker,canonical,English/Latinized,SRC_THEOI_GODS
ENT_MOIRAI,Moirai,canonical,English/Latinized,SRC_THEOI_GODS
ENT_HESPERUS,Hesperus,canonical,English/Latinized,SRC_THEOI_GODS
ENT_EOSPHORUS,Eosphorus,canonical,English/Latinized,SRC_THEOI_GODS
ENT_SELENE,Selene,canonical,English/Latinized,SRC_THEOI_GODS
ENT_HELIOS,Helios,canonical,English/Latinized,SRC_THEOI_GODS
ENT_EOS,Eos,canonical,English/Latinized,SRC_THEOI_GODS
ENT_CRONUS,Cronus,canonical,English/Latinized,SRC_THEOI_GODS
ENT_RHEA,Rhea,canonical,English/Latinized,SRC_THEOI_GODS
ENT_OCEANUS,Oceanus,canonical,English/Latinized,SRC_THEOI_GODS
ENT_TETHYS,Tethys,canonical,English/Latinized,SRC_THEOI_GODS
ENT_HYPERION,Hyperion,canonical,English/Latinized,SRC_THEOI_GODS
ENT_THEIA,Theia,canonical,English/Latinized,SRC_THEOI_GODS
ENT_COEUS,Coeus,canonical,English/Latinized,SRC_THEOI_GODS
ENT_PHOEBE,Phoebe,canonical,English/Latinized,SRC_THEOI_GODS
ENT_CRIUS,Crius,canonical,English/Latinized,SRC_THEOI_GODS
ENT_EURYBIA,Eurybia,canonical,English/Latinized,SRC_THEOI_GODS
ENT_IAPETUS,Iapetus,canonical,English/Latinized,SRC_THEOI_GODS
ENT_CLYMENE_TITANESS,Clymene Titaness,canonical,English/Latinized,SRC_THEOI_GODS
ENT_MNEMOSYNE,Mnemosyne,canonical,English/Latinized,SRC_THEOI_GODS
ENT_THEMIS,Themis,canonical,English/Latinized,SRC_THEOI_GODS
ENT_ASTERIA,Asteria,canonical,English/Latinized,SRC_THEOI_GODS
ENT_LETO,Leto,canonical,English/Latinized,SRC_THEOI_GODS
ENT_ATLAS,Atlas,canonical,English/Latinized,SRC_THEOI_GODS
ENT_PROMETHEUS,Prometheus,canonical,English/Latinized,SRC_THEOI_GODS
ENT_EPIMETHEUS,Epimetheus,canonical,English/Latinized,SRC_THEOI_GODS
ENT_MENOETIUS,Menoetius,canonical,English/Latinized,SRC_THEOI_GODS
ENT_PERSES_TITAN,Perses Titan,canonical,English/Latinized,SRC_THEOI_GODS
ENT_PALLAS_TITAN,Pallas Titan,canonical,English/Latinized,SRC_THEOI_GODS
ENT_ASTRAEUS,Astraeus,canonical,English/Latinized,SRC_THEOI_GODS
ENT_DIONE,Dione,canonical,English/Latinized,SRC_THEOI_GODS
ENT_ZEUS,Zeus,canonical,English/Latinized,SRC_THEOI_GODS
ENT_HERA,Hera,canonical,English/Latinized,SRC_THEOI_GODS
ENT_POSEIDON,Poseidon,canonical,English/Latinized,SRC_THEOI_GODS
