Abstract/cosmological category	abstraction
Cosmological category	abstraction
Cosmological concept	abstraction
Cosmological principle	abstraction
Cosmological process	abstraction
Demiurge/world-maker	deity
Demiurgic/lightworld being	spirit
Earth/netherworld deity	deity
Goddess / Queen of Heaven	deity
Heavenly human	spirit
Heavenly redeemer	deity
Judgment/lightworld being	spirit
Lightworld being	spirit
Lightworld savior	deity
Lightworld savior/warrior	deity
Lightworld warrior	deity
Lord of Heaven / sky and storm deity	deity
Netherworld being	spirit
Netherworld/place power	abstraction
Otherworld-adjacent king	deity
Otherworld craftsman god	deity
Otherworld king	deity
Paradise beings	spirit
Queen of Heaven	deity
Ritual/cosmological process	ritual
Sea/otherworld god	deity
Serpent/netherworld being	monster
Symbolic/cosmological category	abstraction
Underworld daimon	spirit
Underworld deity	deity
Underworld/fertility goddess	deity
Underworld god	deity
Underworld goddess	deity
Underworld judge	deity
Underworld king	deity
Underworld monster/guardian	monster
Underworld nymph	spirit
Underworld/place power	abstraction
Underworld queen	deity
Underworld river god	deity
Underworld river goddess	deity
Underworld ruler	deity
Underworld serpent	monster
Underworld serpent guardian	monster
Underworld/war god	deity
World serpent	monster
World teacher	sage
city goddess / enthroned queen	deity
Creator/ruler figure	deity
God-king	deity
King/war god	deity
Hero / Semi-divine king	hero
Tragic queen/goddess	deity
Enochian king	angel
Adversarial ruler	demon
Deified emperor	deity
Lusitanian deity / oath and settlement goddess	deity
Abyssal/adversarial being	demon
Adversarial being	demon
Divine being	deity
Primordial being	deity
Primordial sea being	deity
Vanir being	deity
Spiritual office	abstraction
Spiritual authority/category	abstraction
Spiritual/social category	abstraction
Spiritual type/category	abstraction
Chthonic god/title	deity
Cult title/deity type	deity
Divine title/form	deity
Goddess/epithet	deity
Local serpent god	deity
Serpent deity	deity
war deity / dragon-slayer	deity
Giant divine king	deity
deity / prophetic goddess and patroness of childbirth	deity
deity / prophetic wild nature god	deity
deity / prophetic woodpecker deity	deity
Messenger/trade god	deity
Youthful/messenger god	deity
Light-overseer/First Man	deity
Seer/healer hero	hero
Seer/prophetic hero	hero
Seer/prophetic heroine	hero
