Chthonic cult form	deity
Horus form	deity
Hidden form of Ra	deity
Solar form	deity
Household cult form	deity
Cosmic builder	deity
Mistress/Potnia	deity
Keeper of winds	deity
Sacred bull	deity
Solar barque crew	deity
Curete/guardian	deity
Tutelary figure	deity
Revealer/savior	deity
Suffering savior	deity
Savior aspect	deity
Messiah/incarnate Logos	deity
Norn	deity
Muse	deity
Lower Sophia	aeon
Celestial prototype	aeon
hypostasis	aeon
Personified passion	aeon
Demiurgic intellect	aeon
Light judge/savior figure	aeon
Light-purifier/receiver	aeon
Revealer/life figure	aeon
Partzuf	sefirah
doctrine	abstraction
Doctrine	abstraction
Cosmogonic process	abstraction
Cultural number-devotion	abstraction
Sacred-number doctrine	abstraction
Esoteric correspondence system	abstraction
Apophatic mystery	abstraction
Personified wisdom	abstraction
Personified fate	abstraction
Cosmic soul	abstraction
Symbolic figure / archetype	abstraction
narrative_cycle	abstraction
Dwarf	spirit
Hesperid	spirit
Praeterhuman intelligence	spirit
Planetary intelligence	spirit
Egregore	spirit
Thoughtform	spirit
witch	spirit
Enochian prince	angel
Guardian uthra	angel
Eschatological adversary	demon
Demiurgic/adversarial name	demon
Cryptid	monster
ogre	monster
Fomorian	monster
Mythical animal	monster
Deified human	hero
Deified figure	hero
Immortalized mortal	hero
Flood survivor / Immortal mortal	hero
Eleusinian figure	hero
Antagonist figure	hero
Musical figure	hero
Trickster magician	hero
Enchanter	hero
Enchantress	hero
Sorcerer	hero
shamanistic mistress of Pohjola	hero
Peacemaker figure	hero
human	hero
Military commander	hero
Savior figure	prophet
Revealer	prophet
Revealer/ancestral figure	prophet
Revealer/savior figure	prophet
Apostolic figure	scriptural-figure
Acts figure	scriptural-figure
Gospel figure	scriptural-figure
Apocalyptic figure	scriptural-figure
Eschatological figure	scriptural-figure
Literary human figure	scriptural-figure
Judge	scriptural-figure
Roman official	scriptural-figure
Villain	scriptural-figure
Deacon	scriptural-figure
Apostolic Father	sage
Apostolic Father / Pope	sage
Authoritative interpreter/exemplar	sage
Guardian/authoritative interpreter	sage
Reformer / Leader	sage
Hadith narrator	sage
person	sage
figure	sage
Initiate order	collective
order	collective
Magical order	collective
Movement	collective
movement	collective
Institution	collective
Institution/office	collective
Office / Lineage	collective
tradition_hub	collective
Celestial sphere	collective
Cosmic structure	realm
Revealed art	ritual
initiatory_grade	ritual
Sacred object	object
Cult object	object
Sacred betyl	object
Relic	object
Construct	object
Sacred text	object
Scripture	object
text	object
Holy figure	saint
Apostolic/revealer figure	scriptural-figure
