claim_id,entity_id,claim_type,claim_value,confidence,source_id,review_status
CLM_00001,ENT_CHAOS,domain,primordial void,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00002,ENT_CHAOS,tag,protogenos,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00003,ENT_CHAOS,tag,cosmogony,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00004,ENT_GAIA,domain,earth,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00005,ENT_GAIA,domain,generation,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00006,ENT_GAIA,tag,protogenos,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00007,ENT_GAIA,tag,earth,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00008,ENT_URANUS,domain,sky,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00009,ENT_URANUS,domain,cosmic order,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00010,ENT_URANUS,tag,protogenos,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00011,ENT_URANUS,tag,sky,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00012,ENT_PONTUS,domain,sea,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00013,ENT_PONTUS,tag,protogenos,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00014,ENT_PONTUS,tag,sea,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00015,ENT_TARTARUS,domain,abyss,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00016,ENT_TARTARUS,domain,underworld,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00017,ENT_TARTARUS,tag,protogenos,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00018,ENT_TARTARUS,tag,underworld,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00019,ENT_EREBUS,domain,darkness,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00020,ENT_EREBUS,domain,underworld gloom,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00021,ENT_EREBUS,tag,protogenos,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00022,ENT_EREBUS,tag,darkness,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00023,ENT_NYX,domain,night,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00024,ENT_NYX,tag,protogenos,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00025,ENT_NYX,tag,night,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00026,ENT_HEMERA,domain,day,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00027,ENT_HEMERA,tag,protogenos,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00028,ENT_HEMERA,tag,day,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00029,ENT_AETHER,domain,upper air,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00030,ENT_AETHER,tag,protogenos,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00031,ENT_AETHER,tag,air,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00032,ENT_EROS_PRIMORDIAL,domain,cosmic attraction,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00033,ENT_EROS_PRIMORDIAL,domain,generation,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00034,ENT_EROS_PRIMORDIAL,tag,protogenos,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00035,ENT_EROS_PRIMORDIAL,tag,creation,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00036,ENT_ANANKE,domain,necessity,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00037,ENT_ANANKE,domain,fate,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00038,ENT_ANANKE,tag,protogenos,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00039,ENT_ANANKE,tag,fate,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00040,ENT_CHRONOS,domain,time,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00041,ENT_CHRONOS,tag,protogenos,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00042,ENT_CHRONOS,tag,time,B,SRC_THEOI_GODS,candidate_verified_name
CLM_00043,ENT_PHANES,domain,creation,B,SRC_THEOI_GODS,candidate_verified_name
