entity_id,region,confidence,rationale,source_id,review_status
ENT_ACHELOOS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ACHELOUS_MINOR,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ACHERON,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ACHERON_RIVER,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ACHILLES,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ACHLYS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ACTAEA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ADIKIA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ADONIS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ADONIS_HERO,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ADRASTEIA_NYMPH,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_AEACUS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_AEACUS_HERO,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_AEGINA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_AEGLE_HESPERID,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_AENEAS_GREEK_RECEPTION,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_AESAR,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_AESEPUS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_AETHER,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_AETHRA_OCEANID,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_AGANIPPE,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_AGATHOS_DAIMON,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_AIDOS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_AJAX,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ALGEA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ALKE,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ALPHEUS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_AMALTHEIA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_AMECHANIA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_AMPHIARAUS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_AMPHIARAUS,Oropos,B,Promoted from v0.1 places table: healing oracle.,SRC_THEOI_DEIFIED,seed_pending
ENT_AMPHILOGIAI,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_AMPHITRITE,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ANANKE,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ANYTUS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_APATE,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_APHRODITE,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_APOLLO,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ARES,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ARETE,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ARETHUSA,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ARETHUSA_HESPERID,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ARIADNE,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ARISTAEUS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ARISTAEUS_HERO,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ARTEMIS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
ENT_ASCALAPHUS,Greek,medium,Seed broad tradition/region from entities.tradition.,SRC_THEOI_GODS,candidate_extracted
