entity_id,source_id,evidence_type,source_note
ENT_CHAOS,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_GAIA,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_URANUS,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_PONTUS,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_TARTARUS,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_EREBUS,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_NYX,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_HEMERA,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_AETHER,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_EROS_PRIMORDIAL,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_ANANKE,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_CHRONOS,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_PHANES,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_THESIS,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_HYDROS,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_PHYSIS,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_OUREA,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_NESOI,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_THALASSA,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_OPHION,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_EURYNOME_PRIMORDIAL,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_MOROS,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_KER,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_MOIRAI,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_HESPERUS,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_EOSPHORUS,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_SELENE,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_HELIOS,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_EOS,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_CRONUS,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_RHEA,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_OCEANUS,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_TETHYS,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_HYPERION,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_THEIA,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_COEUS,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_PHOEBE,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_CRIUS,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_EURYBIA,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
ENT_IAPETUS,SRC_THEOI_GODS,index attestation,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.
